template_id,status,agent_selectable,canonical_question_type,primary_capability,fixed_question_template,required_fields,replacement_template_id
T001,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A1_VISIBLE_OBJECT_CATEGORY,当前图像中是否可见 `{object_category}`？,"['image', 'objects.category']",
T002,CORE_SELECTABLE,True,QT2_MULTI_SELECT,A1_VISIBLE_OBJECT_CATEGORY,从候选项中选择当前图像中可见的所有物体类别。,"['image', 'objects.category']",
T003,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,按可见 mask 面积合计，当前图像中主要可见的物体类别是哪一个？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T004,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,按可见 mask 面积合计，当前图像中面积最大的可见物体类别是哪一个？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T005,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,在标注图中，选择与给定 `{object_category}` 实例对应的标注区域。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T006,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A1_VISIBLE_OBJECT_CATEGORY,当前图像中是否同时可见 `{category_A}` 和 `{category_B}`？,"['image', 'objects.category']",
T007,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,下列哪一项描述与当前图像中可见的物体类别证据一致？,"['image', 'objects.category']",
T008,CORE_SELECTABLE,True,QT4_INTERVAL_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,当前图像中可见物体类别数量属于哪个区间？,"['image', 'objects.category']",
T009,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在给定多帧图像中，`{object_category}` 是否至少可见过一次？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T010,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选帧中，哪一帧是 `{object_category}` 首次可见的帧？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T011,STATIC_OPTIONAL_SELECTABLE,True,QT4_INTERVAL_CHOICE,A2_COUNTING_AND_SET_SIZE,当前图像中可见的 `{object_category}` 数量属于哪个区间？,"['image', 'objects.category']",
T012,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A2_COUNTING_AND_SET_SIZE,当前图像中 `{category_A}` 的可见实例数量是否多于 `{category_B}`？,"['image', 'objects.category']",
T013,CORE_SELECTABLE,True,QT1_SINGLE_CHOICE,A2_COUNTING_AND_SET_SIZE,当前图像中哪类物体的可见实例数量最多？,"['image', 'objects.category']",
T014,CORE_SELECTABLE,True,QT5_ORDERING,A2_COUNTING_AND_SET_SIZE,将候选物体类别按当前图像中的可见实例数量从多到少排序。,"['image', 'objects.category']",
T015,CORE_SELECTABLE,True,QT4_INTERVAL_CHOICE,A2_COUNTING_AND_SET_SIZE,当前图像中可见物体实例总数属于哪个区间？,"['image', 'objects.category']",
T016,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选帧中，哪一帧的可见物体实例总数最多？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T017,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在给定多帧图像中，`{object_category}` 的可见实例数量是否发生变化？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T018,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择 `{object_category}` 可见实例数量最多的图像。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T019,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,判断描述“第 `{i}` 帧中的 `{object_category}` 可见实例数量多于第 `{j}` 帧”是否正确。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T020,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：不再输出每类裸数字计数；使用 T011/T015 区间题或 T002/T012 代替。,['not_selectable'],T011/T015
T021,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图的图像平面坐标中，物体 A 是否位于物体 B 的左侧？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T022,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图的图像平面坐标中，物体 A 是否位于物体 B 的右侧？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
