template_id,executable_in_tool,default_strict_core,strict_status,canonical_question_type,primary_capability,fixed_question_template,replacement_template_id
T001,yes,yes,CORE_SELECTABLE,QT3_BINARY_OR_COMPARISON,A1_VISIBLE_OBJECT_CATEGORY,当前图像中是否可见 `{object_category}`？,
T002,yes,yes,CORE_SELECTABLE,QT2_MULTI_SELECT,A1_VISIBLE_OBJECT_CATEGORY,从候选项中选择当前图像中可见的所有物体类别。,
T003,yes,no,STATIC_OPTIONAL_SELECTABLE,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,按可见 mask 面积合计，当前图像中主要可见的物体类别是哪一个？,
T004,yes,no,STATIC_OPTIONAL_SELECTABLE,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,按可见 mask 面积合计，当前图像中面积最大的可见物体类别是哪一个？,
T006,yes,yes,CORE_SELECTABLE,QT3_BINARY_OR_COMPARISON,A1_VISIBLE_OBJECT_CATEGORY,当前图像中是否同时可见 `{category_A}` 和 `{category_B}`？,
T007,yes,no,STATIC_OPTIONAL_SELECTABLE,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,下列哪一项描述与当前图像中可见的物体类别证据一致？,
T008,yes,yes,CORE_SELECTABLE,QT4_INTERVAL_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,当前图像中可见物体类别数量属于哪个区间？,
T011,yes,no,STATIC_OPTIONAL_SELECTABLE,QT4_INTERVAL_CHOICE,A2_COUNTING_AND_SET_SIZE,当前图像中可见的 `{object_category}` 数量属于哪个区间？,
T012,yes,yes,CORE_SELECTABLE,QT3_BINARY_OR_COMPARISON,A2_COUNTING_AND_SET_SIZE,当前图像中 `{category_A}` 的可见实例数量是否多于 `{category_B}`？,
T013,yes,yes,CORE_SELECTABLE,QT1_SINGLE_CHOICE,A2_COUNTING_AND_SET_SIZE,当前图像中哪类物体的可见实例数量最多？,
T014,yes,yes,CORE_SELECTABLE,QT5_ORDERING,A2_COUNTING_AND_SET_SIZE,将候选物体类别按当前图像中的可见实例数量从多到少排序。,
T015,yes,yes,CORE_SELECTABLE,QT4_INTERVAL_CHOICE,A2_COUNTING_AND_SET_SIZE,当前图像中可见物体实例总数属于哪个区间？,
T020,locked,no,DEPRECATED_LOCKED,DEPRECATED_LOCKED,DEPRECATED,已废弃：不再输出每类裸数字计数；使用 T011/T015 区间题或 T002/T012 代替。,T011/T015
