template_id,status,agent_selectable,canonical_question_type,primary_capability,fixed_question_template,required_fields,scoring,validity_filters,replacement_template_id,original_question,original_format
T001,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A1_VISIBLE_OBJECT_CATEGORY,当前图像中是否可见 `{object_category}`？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中是否可见 `{object_category}`？,F3 判断题
T002,CORE_SELECTABLE,True,QT2_MULTI_SELECT,A1_VISIBLE_OBJECT_CATEGORY,从候选项中选择当前图像中可见的所有物体类别。,"['image', 'objects.category']",Precision / Recall / F1,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,从候选项中选择当前图像中可见的物体类别。,F2 多选题
T003,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,按可见 mask 面积合计，当前图像中主要可见的物体类别是哪一个？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中主要可见的物体是哪一个？,F1 单选题
T004,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,按可见 mask 面积合计，当前图像中面积最大的可见物体类别是哪一个？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中面积最大的可见物体类别是什么？,F7 填空题
T005,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,在标注图中，选择与给定 `{object_category}` 实例对应的标注区域。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,给定 `{object_category}`，选择其对应的分割区域。,F16 Mask 选择题
T006,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A1_VISIBLE_OBJECT_CATEGORY,当前图像中是否同时可见 `{category_A}` 和 `{category_B}`？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中是否同时可见 `{category_A}` 和 `{category_B}`？,F3 判断题
T007,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,下列哪一项描述与当前图像中可见的物体类别证据一致？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,下列描述中，哪一项与当前图像中的可见物体列表一致？,F12 图文匹配题
T008,CORE_SELECTABLE,True,QT4_INTERVAL_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,当前图像中可见物体类别数量属于哪个区间？,"['image', 'objects.category']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,当前图像中可见物体类别数量属于哪个区间？,F9 区间选择题
T009,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在给定多帧图像中，`{object_category}` 是否至少可见过一次？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,在多帧图像中，`{object_category}` 是否至少出现过一次？,F3 判断题
T010,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选帧中，哪一帧是 `{object_category}` 首次可见的帧？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",Exact Match,"['answer_unique', 'no_unanswerable_option', 'no_raw_numeric_answer', 'no_gt_leakage_in_question', 'candidate_labels_unique', 'margin_from_decision_boundary']",,哪一帧中首次出现 `{object_category}`？,F11 图片选择题
